condition,variable,channel,value
without,p_CO2_V,F8,50.41515722363053
without,p_CO2_V,C3,50.41519302877926
without,p_CO2_V,C4,50.415176666133924
without,p_CO2_V,T3,50.416924815012365
without,p_CO2_V,T4,50.418302154504
without,p_CO2_V,P3,50.41524101489229
without,p_CO2_V,P4,50.4154144004626
without,pO2_cap,Fp1,56.470739961180996
without,pO2_cap,Fp2,56.46750510905619
without,pO2_cap,F3,56.48452386879321
without,pO2_cap,F4,56.469293979694925
without,pO2_cap,T5,56.51395836022858
without,pO2_cap,T6,56.50584118092382
without,pO2_cap,O1,56.484036157651964
without,pO2_cap,O2,56.501499716031816
without,pO2_cap,F7,56.50272239819478
without,pO2_cap,F8,56.51009624936825
without,pO2_cap,C3,56.50965001823209
without,pO2_cap,C4,56.50985405348697
without,pO2_cap,T3,56.488299902361724
without,pO2_cap,T4,56.47172347672749
without,pO2_cap,P3,56.50905404572982
without,pO2_cap,P4,56.50687574704177
without,CMRO2,Fp1,6.5196613290997725
without,CMRO2,Fp2,6.515377898309693
without,CMRO2,F3,6.54002998614099
without,CMRO2,F4,6.517804153930717
without,CMRO2,T5,6.592562580688155
without,CMRO2,T6,6.57460795805305
without,CMRO2,O1,6.538743228366573
without,CMRO2,O2,6.566408864771771
without,CMRO2,F7,6.568818242066261
without,CMRO2,F8,6.583777279501541
without,CMRO2,C3,6.582874281400993
without,CMRO2,C4,6.583288735903647
without,CMRO2,T3,6.544569166580243
without,CMRO2,T4,6.52097403386308
without,CMRO2,P3,6.581703102637849
without,CMRO2,P4,6.577066215134007
without,DeltaHCO2,Fp1,3.7566288578272893
without,DeltaHCO2,Fp2,3.7541607450060455
without,DeltaHCO2,F3,3.7683652780144388
without,DeltaHCO2,F4,3.7555587534948796
without,DeltaHCO2,T5,3.798634558992515
without,DeltaHCO2,T6,3.788289105430167
without,DeltaHCO2,O1,3.7676238481848205
without,DeltaHCO2,O2,3.783564787881492
without,DeltaHCO2,F7,3.7849530710785784
without,DeltaHCO2,F8,3.7935724684487866
without,DeltaHCO2,C3,3.7930521609432506
without,DeltaHCO2,C4,3.7932909696276798
without,DeltaHCO2,T3,3.770980753783535
without,DeltaHCO2,T4,3.7573852383119064
without,DeltaHCO2,P3,3.792377327739928
without,DeltaHCO2,P4,3.7897055531602137
without,DeltaLAC,Fp1,4.566983373403099
without,DeltaLAC,Fp2,4.562557161586683
without,DeltaLAC,F3,4.588030985679024
without,DeltaLAC,F4,4.565064292395075
without,DeltaLAC,T5,4.642314666711091
without,DeltaLAC,T6,4.6237615566548165
without,DeltaLAC,O1,4.586701335978791
without,DeltaLAC,O2,4.615289160264164
without,DeltaLAC,F7,4.617778850135137
without,DeltaLAC,F8,4.633236522151591
without,DeltaLAC,C3,4.632303424114358
without,DeltaLAC,C4,4.632731693767101
without,DeltaLAC,T3,4.5927214721329195
without,DeltaLAC,T4,4.568339834991848
without,DeltaLAC,P3,4.63109320605911
without,DeltaLAC,P4,4.626301755638469
