Index,Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
38.0,0.1484375,-310077.883014,-3097.41534,-640535.728995,994519.23305,-765285.821591,-907062.042601,-883395.836758,-1084139.357107,-3747849.493962,-3203507.447661,-3210604.57356,-2939458.959038,-2924943.915003,-419474.472937,-3084347.079318,-2608006.549836
39.0,0.15234375,-310046.769386,-3254.056365,-640379.08797,994409.798909,-764334.173719,-906116.832032,-882483.885584,-1083201.656723,-3746889.263021,-3202528.977696,-3209623.421386,-2938487.462817,-2923985.293387,-419350.554866,-3083388.457702,-2607050.073987
40.0,0.15625,-310201.801086,-3615.618183,-639441.387587,994190.930628,-757556.230731,-899434.375696,-876937.07668,-1076471.993503,-3740148.334521,-3195665.204008,-3202805.781699,-2931673.578223,-2919157.316584,-419471.254286,-3076630.363063,-2600276.958975
41.0,0.16015625,-310245.789319,-3490.090786,-640173.630735,994230.090884,-763587.44664,-905468.810257,-881623.969272,-1082458.684738,-3746198.862338,-3201710.903849,-3208916.927447,-2937791.161274,-2923348.536891,-419620.385125,-3082676.599345,-2606284.571443
42.0,0.1640625,-310165.859481,-3129.601852,-640440.242343,994433.402352,-765320.690312,-907154.847044,-883001.551986,-1084193.001293,-3747896.164405,-3203472.042498,-3210642.124491,-2939499.72862,-2924550.166672,-419433.703355,-3084378.729389,-2608017.815115
43.0,0.16796875,-310078.955898,-3205.240155,-640395.181226,994362.592025,-765308.888591,-907122.12409,-882833.645682,-1084193.001293,-3747860.2228,-3203452.194149,-3210594.917607,-2939455.203945,-2924211.671854,-419259.89619,-3084341.7149,-2608007.086278
44.0,0.171875,-310093.97627,-3537.297671,-640391.962575,994120.656743,-765310.497917,-907123.733416,-882804.141379,-1084197.292828,-3747852.176172,-3203429.66359,-3210561.658211,-2939436.964922,-2924100.091946,-419398.834634,-3084311.137713,-2607996.893882
45.0,0.17578125,-310146.011132,-3548.026508,-640457.408483,994036.971812,-765316.398778,-907129.634277,-883005.307079,-1084205.875898,-3747848.957521,-3203424.299171,-3210552.538699,-2939427.308968,-2924387.088345,-419559.767194,-3084289.143597,-2607989.383696
46.0,0.1796875,-310116.506829,-3205.776597,-640507.834018,994179.128907,-765301.914847,-907102.275741,-883134.053127,-1084201.047921,-3747817.30745,-3203417.325427,-3210536.445443,-2939395.122456,-2924568.942138,-419369.866773,-3084264.467271,-2607973.29044
47.0,0.18359375,-310040.868526,-3185.391806,-640475.111064,994163.035651,-765292.795335,-907085.109602,-883018.718126,-1084203.193689,-3747794.24045,-3203397.477078,-3210511.232675,-2939368.836804,-2924323.788205,-419148.852724,-3084249.98334,-2607959.879394
48.0,0.1875,-310040.868526,-3515.839996,-640455.262715,993930.756322,-765292.795335,-907090.47402,-882954.345102,-1084205.875898,-3747792.631125,-3203370.118543,-3210486.019908,-2939361.86306,-2924157.491226,-419236.82919,-3084233.353643,-2607948.077672
